Name,Symbol,ISIN,WKN,Exchange
Deka iBoxx EUR Liquid Sovereign Diversified 7-10 UCITS ETF,EL4P,DE000ETFL151,ETFL15,XETR
Deka MDAX UCITS ETF,ELF1,DE000ETFL441,ETFL44,XETR
Deka MSCI China ex A Shares UCITS ETF,EL46,DE000ETFL326,ETFL32,XETR
Deka MSCI Emerging Markets UCITS ETF,EL40,DE000ETFL342,ETFL34,XETR
Deka MSCI EMU Climate Change ESG UCITS ETF,D6RS,DE000ETFL557,ETFL55,XETR
Deka MSCI Europe Climate Change ESG UCITS ETF,D6RR,DE000ETFL565,ETFL56,XETR
Deka MSCI Europe ex EMU UCITS ETF,ELF5,DE000ETFL458,ETFL45,XETR
Deka MSCI Europe LC UCITS ETF,EL4H,DE000ETFL086,ETFL08,XETR
Deka MSCI Europe MC UCITS ETF,EL43,DE000ETFL292,ETFL29,XETR
Deka MSCI Europe UCITS ETF,EL42,DE000ETFL284,ETFL28,XETR
Deka MSCI Germany Climate Change ESG UCITS ETF,D6RT,DE000ETFL540,ETFL54,XETR
Deka MSCI Japan Climate Change ESG UCITS ETF,EL45,DE000ETFL318,ETFL31,XETR
Deka MSCI Japan LC UCITS ETF,EL4J,DE000ETFL102,ETFL10,XETR
Deka MSCI Japan UCITS ETF,EL44,DE000ETFL300,ETFL30,XETR
Deka MSCI USA Climate Change ESG UCITS ETF,D6RQ,DE000ETFL573,ETFL57,XETR
Deka MSCI USA LC UCITS ETF,EL4I,DE000ETFL094,ETFL09,XETR
Deka MSCI USA MC UCITS ETF,EL41,DE000ETFL276,ETFL27,XETR
Deka MSCI USA UCITS ETF,EL4Z,DE000ETFL268,ETFL26,XETR
Deka MSCI World Climate Change ESG UCITS ETF,D6RP,DE000ETFL581,ETFL58,XETR
Deka MSCI World UCITS ETF,ELFW,DE000ETFL508,ETFL50,XETR
Deka Oekom Euro Nachhaltigkeit UCITS ETF,ELFB,DE000ETFL474,ETFL47,XETR
Deka STOXX Europe 50 UCITS ETF,EL4Y,DE000ETFL250,ETFL25,XETR
Deka US Treasury 7-10 UCITS ETF,ELFE,DE000ETFL524,ETFL52,XETR
Expat Bulgaria SOFIX UCITS ETF,BGX,BG9000011163,A2ARPV,XETR
Expat Croatia CROBEX UCITS ETF,ECDC,BGCROEX03189,A2JB7C,XETR
Expat Czech PX UCITS ETF,CZX,BGCZPX003174,A2JAG6,XETR
Expat Greece ASE UCITS ETF,GRX,BGGRASE06174,A2JAG9,XETR
Expat Hungary BUX UCITS ETF,HUBE,BGHUBUX01189,A2JB7B,XETR
